Date Time Hour Beginning,Original Res Forecast before Lockdown,Actual Residual Demand,Deviation From Original Fc,Latest Official Residual Forecast,Alert Level 1,Alert Level 2,Alert Level 3,Alert Level 4,Alert Level 5,Zero Line
2020-03-23 23:00,22689.369999999999,23328.018,-638.64800000000105,,0,0,0,0,0,.0
2020-03-24 00:00,22267.468000000001,22719.375,-451.90699999999924,,0,0,0,0,0,.0
2020-03-24 01:00,22054.607,22354.27,-299.66300000000047,,0,0,0,0,0,.0
2020-03-24 02:00,21877.145,22312.400000000001,-435.25500000000102,,0,0,0,0,0,.0
2020-03-24 03:00,22105.905999999999,22416.27,-310.3640000000014,,0,0,0,0,0,.0
2020-03-24 04:00,22934.638999999999,23149.400000000001,-214.76100000000224,,0,0,0,0,0,.0
2020-03-24 05:00,24638.101999999999,24545.27,92.831999999998516,,0,0,0,0,0,.0
2020-03-24 06:00,26443.240000000002,25928.400000000001,514.84000000000015,,0,0,0,0,0,.0
2020-03-24 07:00,27368.400000000001,26709.27,659.13000000000102,,0,0,0,0,0,.0
2020-03-24 08:00,27997.181,27603.400000000001,393.78099999999904,,0,0,0,0,0,.0
2020-03-24 09:00,27864.545999999998,27551.77,312.77599999999802,,0,0,0,0,0,.0
2020-03-24 10:00,27606.348000000002,27514.400000000001,91.94800000000032,,0,0,0,0,0,.0
2020-03-24 11:00,27562.593000000001,27497.484,65.109000000000378,,0,0,0,0,0,.0
2020-03-24 12:00,27391.788,27298.276999999998,93.511000000002241,,0,0,0,0,0,.0
2020-03-24 13:00,27400.540000000001,27037.400000000001,363.13999999999942,,0,0,0,0,0,.0
2020-03-24 14:00,27481.93,27203.27,278.65999999999985,,0,0,0,0,0,.0
2020-03-24 15:00,27776.136999999999,27702.412,73.724999999998545,,0,0,0,0,0,.0
2020-03-24 16:00,28118.448,27952.143,166.30500000000029,,0,0,0,0,0,.0
2020-03-24 17:00,28595.302,28376.605,218.69700000000012,,0,0,0,0,0,.0
2020-03-24 18:00,29842.753000000001,29913.700000000001,-70.947000000000116,,0,0,0,0,0,.0
2020-03-24 19:00,29496.030999999999,29347.110000000001,148.92099999999846,,0,0,0,0,0,.0
2020-03-24 20:00,27480.848999999998,27360.482,120.36699999999837,,0,0,0,0,0,.0
2020-03-24 21:00,25610.587,25826.384999999998,-215.79799999999886,,0,0,0,0,0,.0
2020-03-24 22:00,24054.179,24031.885999999999,22.293000000001484,,0,0,0,0,0,.0
2020-03-24 23:00,23025.183000000001,23046.32,-21.136999999998807,,0,0,0,0,0,.0
2020-03-25 00:00,22569.659,22329.27,240.38899999999921,,0,0,0,0,0,.0
2020-03-25 01:00,22265.258999999998,22086.27,178.98899999999776,,0,0,0,0,0,.0
2020-03-25 02:00,22147.472000000002,21882.400000000001,265.07200000000012,,0,0,0,0,0,.0
2020-03-25 03:00,22369.222000000002,22022.27,346.95200000000114,,0,0,0,0,0,.0
2020-03-25 04:00,23487.714,22891.27,596.44399999999951,,0,0,0,0,0,.0
2020-03-25 05:00,25304.119999999999,24215.27,1088.8499999999985,,0,0,0,0,0,.0
2020-03-25 06:00,26519.251,25251.400000000001,1267.8509999999987,,0,0,0,0,0,.0
2020-03-25 07:00,27479.300999999999,26094.27,1385.030999999999,,0,0,0,0,0,.0
2020-03-25 08:00,28097.899000000001,26384.27,1713.6290000000008,,0,0,0,0,0,.0
2020-03-25 09:00,27849.506000000001,26300.27,1549.2360000000008,,0,0,0,0,0,.0
2020-03-25 10:00,27639.006000000001,26108.400000000001,1530.6059999999998,,0,0,0,0,0,.0
2020-03-25 11:00,27522.937999999998,25856.27,1666.6679999999978,,0,0,0,0,0,.0
2020-03-25 12:00,27291.691999999999,25491.400000000001,1800.2919999999976,,0,0,0,0,0,.0
2020-03-25 13:00,27156.723000000002,25205.400000000001,1951.3230000000003,,0,0,0,0,0,.0
2020-03-25 14:00,27235.129000000001,24902.27,2332.8590000000004,,0,0,0,0,0,.0
2020-03-25 15:00,27463.005000000001,25016.400000000001,2446.6049999999996,,0,0,0,0,0,.0
2020-03-25 16:00,27832.131000000001,25393.200000000001,2438.9310000000005,,0,0,0,0,0,.0
2020-03-25 17:00,28284.002,25751,2533.0020000000004,,0,0,0,0,0,.0
2020-03-25 18:00,29521.011999999999,27567,1954.0119999999988,,0,0,0,0,0,.0
2020-03-25 19:00,29232.84,27040.869999999999,2191.9700000000012,,0,0,0,0,0,.0
2020-03-25 20:00,27278.912,24872.400000000001,2406.5119999999988,,0,0,0,0,0,.0
2020-03-25 21:00,25360.429,23166.27,2194.1589999999997,,0,0,0,0,0,.0
2020-03-25 22:00,23727.056,21699.400000000001,2027.655999999999,,0,0,0,0,0,.0
2020-03-25 23:00,22641.170999999998,20473.529999999999,2167.6409999999996,,0,0,0,0,0,.0
2020-03-26 00:00,22187.705999999998,19869.27,2318.4359999999979,,0,0,0,0,0,.0
2020-03-26 01:00,21894.076000000001,19424.400000000001,2469.6759999999995,,0,0,0,0,0,.0
2020-03-26 02:00,21751.168000000001,19225.400000000001,2525.768,,0,0,0,0,0,.0
2020-03-26 03:00,21940.080000000002,19015.400000000001,2924.6800000000003,,0,0,0,0,0,.0
2020-03-26 04:00,23009.599999999999,19454.27,3555.3299999999981,,0,0,0,0,0,.0
2020-03-26 05:00,24827.938999999998,20544.400000000001,4283.538999999997,,0,0,0,0,0,.0
2020-03-26 06:00,26005.864000000001,22017.400000000001,3988.4639999999999,,0,0,0,0,0,.0
2020-03-26 07:00,26878.353999999999,23025.400000000001,3852.9539999999979,,0,0,0,0,0,.0
2020-03-26 08:00,27509.724999999999,23590.27,3919.4549999999981,,0,0,0,0,0,.0
2020-03-26 09:00,27338.555,23186.27,4152.2849999999999,,0,0,0,0,0,.0
2020-03-26 10:00,27225.145,22678.529999999999,4546.6150000000016,,0,0,0,0,0,.0
2020-03-26 11:00,27130.845000000001,22466.27,4664.5750000000007,,0,0,0,0,0,.0
2020-03-26 12:00,27040.174999999999,21943.400000000001,5096.7749999999978,,0,0,0,0,0,.0
2020-03-26 13:00,27095.491999999998,21178.400000000001,5917.0919999999969,,0,0,0,0,0,.0
2020-03-26 14:00,27224.940999999999,20823.27,6401.6709999999985,,0,0,0,0,0,.0
2020-03-26 15:00,27590.021000000001,20613.529999999999,6976.4910000000018,,0,0,0,0,0,.0
2020-03-26 16:00,27968.311000000002,20956.27,7012.0410000000011,,0,0,0,0,0,.0
2020-03-26 17:00,28411.065999999999,21634.27,6776.7959999999985,,0,0,0,0,0,.0
2020-03-26 18:00,29648.469000000001,22960.400000000001,6688.0689999999995,,0,0,0,0,0,.0
2020-03-26 19:00,29330.069,22512.27,6817.7989999999991,,0,0,0,0,0,.0
2020-03-26 20:00,27334.181,21076.27,6257.9110000000001,,0,0,0,0,0,.0
2020-03-26 21:00,25534.436000000002,19702.400000000001,5832.0360000000001,,0,0,0,0,0,.0
2020-03-26 22:00,23895.705000000002,18280.27,5615.4350000000013,,0,0,0,0,0,.0
2020-03-26 23:00,22829.100999999999,17007.27,5821.8309999999983,,0,0,0,0,0,.0
2020-03-27 00:00,22527.210999999999,16210.27,6316.9409999999989,,0,0,0,0,100000,.0
2020-03-27 01:00,22203.688999999998,15894.4,6309.2889999999989,,0,0,0,0,100000,.0
2020-03-27 02:00,22056.381000000001,15695.27,6361.1110000000008,,0,0,0,0,100000,.0
2020-03-27 03:00,22177.759999999998,15866.27,6311.489999999998,,0,0,0,0,100000,.0
2020-03-27 04:00,23014.625,16108.27,6906.3549999999996,,0,0,0,0,100000,.0
2020-03-27 05:00,24511.897000000001,16793.369999999999,7718.5270000000019,,0,0,0,0,100000,.0
2020-03-27 06:00,25936.763999999999,17589.27,8347.4939999999988,,0,0,0,0,100000,.0
2020-03-27 07:00,27181.134999999998,18520.27,8660.864999999998,,0,0,0,0,100000,.0
2020-03-27 08:00,27956.824000000001,19531.400000000001,8425.4239999999991,,0,0,0,0,100000,.0
2020-03-27 09:00,27922.105,19965,7957.1049999999996,,0,0,0,0,100000,.0
2020-03-27 10:00,27851.133000000002,20298.400000000001,7552.7330000000002,,0,0,0,0,100000,.0
2020-03-27 11:00,27755.708999999999,20483.27,7272.4389999999985,,0,0,0,0,100000,.0
2020-03-27 12:00,27623.108,20427.400000000001,7195.7079999999987,,0,0,0,0,100000,.0
2020-03-27 13:00,27376.266,20396.27,6979.9959999999992,,0,0,0,0,100000,.0
2020-03-27 14:00,27275.252,20183.400000000001,7091.851999999999,,0,0,0,0,100000,.0
2020-03-27 15:00,27239.841,20468.27,6771.5709999999999,,0,0,0,0,100000,.0
2020-03-27 16:00,27317.919000000002,21353.400000000001,5964.5190000000002,,0,0,0,0,100000,.0
2020-03-27 17:00,27501.324000000001,22621.133000000002,4880.1909999999989,,0,0,0,0,100000,.0
2020-03-27 18:00,28068.768,23835.373,4233.3950000000004,,0,0,0,0,100000,.0
2020-03-27 19:00,28035.468000000001,22726.441999999999,5309.0260000000017,,0,0,0,0,100000,.0
2020-03-27 20:00,26464.269,21130.793000000001,5333.4759999999987,,0,0,0,0,100000,.0
2020-03-27 21:00,25260.493999999999,19366.562000000002,5893.9319999999971,,0,0,0,0,100000,.0
2020-03-27 22:00,23629.427,17979.099999999999,5650.3270000000011,,0,0,0,0,100000,.0
2020-03-27 23:00,22626.168000000001,17188.27,5437.898000000001,,0,0,0,0,100000,.0
2020-03-28 00:00,22372.022000000001,16517.400000000001,5854.6219999999994,,0,0,0,0,100000,.0
2020-03-28 01:00,22071.701000000001,16212.27,5859.4310000000005,,0,0,0,0,100000,.0
2020-03-28 02:00,21840.471000000001,15993.4,5847.0710000000017,,0,0,0,0,100000,.0
2020-03-28 03:00,21920.453000000001,15978.27,5942.1830000000009,,0,0,0,0,100000,.0
2020-03-28 04:00,22271.762999999999,15968.27,6303.4929999999986,,0,0,0,0,100000,.0
2020-03-28 05:00,22783.938999999998,16206.4,6577.5389999999989,,0,0,0,0,100000,.0
2020-03-28 06:00,23782.849999999999,16778.27,7004.5799999999981,,0,0,0,0,100000,.0
2020-03-28 07:00,25183.058000000001,17653.27,7529.7880000000005,,0,0,0,0,100000,.0
2020-03-28 08:00,26029.991999999998,18757.400000000001,7272.5919999999969,,0,0,0,0,100000,.0
2020-03-28 09:00,26221.276999999998,19522.27,6699.0069999999978,,0,0,0,0,100000,.0
2020-03-28 10:00,25771.125,19879.529999999999,5891.5950000000012,,0,0,0,0,100000,.0
2020-03-28 11:00,25548.25,19671.400000000001,5876.8499999999985,,0,0,0,0,100000,.0
2020-03-28 12:00,25248.999,19485.27,5763.7289999999994,,0,0,0,0,100000,.0
2020-03-28 13:00,24904.913,19100.400000000001,5804.512999999999,,0,0,0,0,100000,.0
2020-03-28 14:00,24612.776000000002,18665.27,5947.5060000000012,,0,0,0,0,100000,.0
2020-03-28 15:00,24478.545999999998,18652.400000000001,5826.145999999997,,0,0,0,0,100000,.0
2020-03-28 16:00,24883.760999999999,19438.400000000001,5445.3609999999971,,0,0,0,0,100000,.0
2020-03-28 17:00,25541.654999999999,20877.400000000001,4664.2549999999974,,0,0,0,0,100000,.0
2020-03-28 18:00,27142.184000000001,23267.400000000001,3874.7839999999997,,0,0,0,0,100000,.0
2020-03-28 19:00,26984.726999999999,22688.27,4296.4569999999985,,0,0,0,0,100000,.0
2020-03-28 20:00,25459.380000000001,20560.27,4899.1100000000006,,0,0,0,0,100000,.0
2020-03-28 21:00,23954.115000000002,18665.400000000001,5288.7150000000001,,0,0,0,0,100000,.0
2020-03-28 22:00,22899.131000000001,17208.27,5690.8610000000008,,0,0,0,0,100000,.0
2020-03-28 23:00,22052.075000000001,16086.4,5965.6750000000011,,0,0,0,0,100000,.0
2020-03-29 00:00,21677.616999999998,15500.27,6177.3469999999979,,0,0,0,0,100000,.0
2020-03-29 01:00,21166.824000000001,15278.4,5888.4240000000009,,0,0,0,0,100000,.0
2020-03-29 02:00,21007.067999999999,15165.27,5841.7979999999989,,0,0,0,0,100000,.0
2020-03-29 03:00,20971.709999999999,15118.27,5853.4399999999987,,0,0,0,0,100000,.0
2020-03-29 04:00,21203.733,15327.4,5876.3330000000005,,0,0,0,0,100000,.0
2020-03-29 05:00,21491.952000000001,15561.27,5930.6820000000007,,0,0,0,0,100000,.0
2020-03-29 06:00,22313.918000000001,16144.4,6169.5180000000018,,0,0,0,0,100000,.0
2020-03-29 07:00,24178.366999999998,17346.27,6832.0969999999979,,0,0,0,0,100000,.0
2020-03-29 08:00,25132.259999999998,18550.27,6581.989999999998,,0,0,0,0,100000,.0
2020-03-29 09:00,25537.851999999999,19554.400000000001,5983.4519999999975,,0,0,0,0,100000,.0
2020-03-29 10:00,25387.525000000001,20154.400000000001,5233.125,,0,0,0,0,100000,.0
2020-03-29 11:00,25115.280999999999,20056.27,5059.0109999999986,,0,0,0,0,100000,.0
2020-03-29 12:00,24872.899000000001,19782.400000000001,5090.4989999999998,,0,0,0,0,100000,.0
2020-03-29 13:00,24566.111000000001,19117.27,5448.8410000000003,,0,0,0,0,100000,.0
2020-03-29 14:00,24272.106,18750.400000000001,5521.7059999999983,,0,0,0,0,100000,.0
2020-03-29 15:00,24279.353999999999,18888.27,5391.0839999999989,,0,0,0,0,100000,.0
2020-03-29 16:00,24630.817999999999,19905.27,4725.5479999999989,,0,0,0,0,100000,.0
2020-03-29 17:00,25386.59,21233.400000000001,4153.1899999999987,,0,0,0,0,100000,.0
2020-03-29 18:00,27285.786,22919.27,4366.5159999999996,,0,0,0,0,100000,.0
2020-03-29 19:00,27241.454000000002,22013.400000000001,5228.0540000000001,,0,0,0,0,100000,.0
2020-03-29 20:00,25555.788,19893.27,5662.518,,0,0,0,0,100000,.0
2020-03-29 21:00,23903.809000000001,18325.400000000001,5578.4089999999997,,0,0,0,0,100000,.0
2020-03-29 22:00,22388.599999999999,17190.27,5198.3299999999981,,0,0,0,0,100000,.0
2020-03-29 23:00,21615.357,16261.27,5354.0869999999995,,0,0,0,0,100000,.0
2020-03-30 00:00,20536.267,15738.4,4797.8670000000002,,0,0,0,0,100000,.0
2020-03-30 01:00,20338.48,15406.27,4932.2099999999991,,0,0,0,0,100000,.0
2020-03-30 02:00,20352.797999999999,15235.27,5117.5279999999984,,0,0,0,0,100000,.0
2020-03-30 03:00,20611.212,15443.4,5167.8119999999999,,0,0,0,0,100000,.0
2020-03-30 04:00,21588.339,15939.27,5649.0689999999995,,0,0,0,0,100000,.0
2020-03-30 05:00,23353.706999999999,16687.400000000001,6666.3069999999971,,0,0,0,0,100000,.0
2020-03-30 06:00,25071.238000000001,17561.27,7509.9680000000008,,0,0,0,0,100000,.0
